id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,Astronergy VIOLIN II CHSM6610P 275W,Astronergy,VIOLIN II CHSM6610P 275W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 275W HV,Astronergy,VIOLIN II CHSM6610P 275W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 280W,Astronergy,VIOLIN II CHSM6610P 280W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 280W HV,Astronergy,VIOLIN II CHSM6610P 280W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P(DG) 260W,Astronergy,VIOLIN II CHSM6610P(DG) 260W,,,,,Linear,25,83,,,,,,
,5,Astronergy VIOLIN II CHSM6610P(DG) 265W,Astronergy,VIOLIN II CHSM6610P(DG) 265W,,,,,Linear,25,83,,,,,,
,5,Astronergy VIOLIN II CHSM6610P(DG) 270W,Astronergy,VIOLIN II CHSM6610P(DG) 270W,,,,,Linear,25,83,,,,,,
,5,Astronergy VIOLIN II CHSM6610P(DG) 275W,Astronergy,VIOLIN II CHSM6610P(DG) 275W,,,,,Linear,25,83,,,,,,
,5,Astronergy VIOLIN II CHSM6610P(DG) 280W,Astronergy,VIOLIN II CHSM6610P(DG) 280W,,,,,Linear,25,83,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 305W,Astronergy,VIOLIN II CHSM6612P 305W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 305W HV,Astronergy,VIOLIN II CHSM6612P 305W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 310W,Astronergy,VIOLIN II CHSM6612P 310W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 310W HV,Astronergy,VIOLIN II CHSM6612P 310W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 315W,Astronergy,VIOLIN II CHSM6612P 315W,,,,,Linear,25,80.7,,,,,,
